id,name,lon,lat
400,Gate near: NY 73049 39474,-2.420229,54.749488
401,Gate near: SD 48483 89651,-2.793113,54.29986
402,Gate near: SD 48524 90800,-2.7926755,54.310187
403,Gate near: SD 78980 86287,-2.3242726,54.271801
404,Gate near: NY 17764 37594,-3.2784248,54.72658
405,Gate near: NY 32396 02830,-3.0432538,54.4164
406,Gate near: NY 33334 03142,-3.0288738,54.41933
407,Gate near: NY 34255 03243,-3.0147173,54.420352
408,Gate near: NY 33922 03810,-3.0199757,54.425405
409,Gate near: NY 32793 04734,-3.0375789,54.433561
410,Gate near: NY 29215 06254,-3.0930843,54.446729
411,Gate near: SD 51208 78503,-2.7494179,54.199943
412,Gate near: SD 51318 78864,-2.7478033,54.203196
413,Gate near: SD 50048 79219,-2.7673238,54.206269
414,Gate near: SD 50189 79271,-2.7651722,54.206744
415,Gate near: SD 50309 79256,-2.7633325,54.206622
416,Gate near: SD 49685 79425,-2.7729287,54.208085
417,Gate near: SD 50899 79296,-2.7542832,54.207038
418,Gate near: SD 51561 79294,-2.7441358,54.207089
419,Gate near: SD 17571 92883,-3.2688927,54.324835
420,Gate near: SD 12118 93795,-3.352977,54.332123
421,Gate near: SD 12254 95453,-3.3513777,54.347046
422,Gate near: NY 36690 04538,-2.9774711,54.432301
423,Gate near: SD 40420 98783,-2.9188249,54.381041
424,Gate near: SD 40438 98800,-2.9185459,54.381194
425,Gate near: SD 40143 98126,-2.9229556,54.3751
426,Gate near: SD 40377 98193,-2.9193578,54.375736
427,Gate near: SD 40640 98168,-2.9153174,54.375541
428,Gate near: SD 42087 97301,-2.8928687,54.367912
429,Gate near: SD 42295 96853,-2.8895847,54.363911
430,Gate near: SD 42272 96758,-2.8899122,54.363059
431,Gate near: SD 42259 96543,-2.8900731,54.361127
432,Gate near: SD 41988 96352,-2.8942055,54.359379
433,Gate near: SD 41832 96550,-2.8966475,54.36114
434,Gate near: SD 41438 96634,-2.9027222,54.361848
435,Gate near: SD 42013 97421,-2.8940245,54.368986
436,Gate near: SD 67214 92083,-2.5055789,54.323267
437,Gate near: SD 63425 93529,-2.5640087,54.336003
438,Gate near: SD 63409 93463,-2.5642439,54.335406
439,Gate near: SD 63150 92595,-2.5681199,54.327585
440,Gate near: SD 63192 92407,-2.5674537,54.325902
441,Gate near: SD 62958 91831,-2.5709744,54.32071
442,Gate near: SD 62960 91773,-2.5709314,54.320185
443,Gate near: SD 62916 91642,-2.5716036,54.319006
444,Gate near: SD 65167 91474,-2.5369688,54.317652
445,Gate near: SD 65696 92111,-2.528921,54.323418
446,Gate near: NY 77959 01745,-2.3410947,54.410675
447,Gate near: NY 77359 05227,-2.3506156,54.441938
448,Gate near: NY 77144 06514,-2.3540284,54.453496
449,Gate near: NY 77268 06598,-2.352121,54.454258
450,Gate near: NY 77606 07993,-2.3470141,54.466808
451,Gate near: NY 72175 04304,-2.4304575,54.43339
452,Gate near: NY 68584 03432,-2.48572,54.425344
453,Gate near: SD 30143 95108,-3.0761558,54.346708
454,Gate near: NY 31901 05350,-3.0514718,54.438983
455,Gate near: NY 31064 05836,-3.0644817,54.443229
456,Gate near: NY 31322 05493,-3.0604301,54.440182
457,Gate near: NY 31419 05411,-3.0589058,54.439465
458,Gate near: SD 45223 76357,-2.8407608,54.180057
459,Gate near: SD 45236 76347,-2.8405718,54.179969
460,Gate near: SD 45385 76231,-2.8382647,54.178941
461,Gate near: SD 45430 76165,-2.8375588,54.178353
462,Gate near: SD 49437 80268,-2.7768649,54.215631
463,Gate near: SD 49998 80886,-2.7683689,54.221239
